	4	5	6	13	26	81	83	86	88	158	164	189	218	243	245	247	249	251	253	254	256	319	335	340	369	371	584	391	397	417	465	513	515	522	523	526	530	552	556	558	559	565	567	583	587	590	597	598	607	615	618	619	620	676	700	715	718	719	724	725	900	969	972	973	975	978	1931	1932	2041	3262	3333	3921	3922	4022	4130	8300	8301	8512	9007	9009	9014	9019	9098	9601	9970	9971
-1	0.002536471	0.003623898	0	0.001307446	0.002189232	0.000939041	0.002718889	0	0.002351861	0.001262159	0.000418576	0	0	0.000443781	0	0.002004982	0.002369158	0.001372448	0.000635324	0	0.001655065	0.002220331	0.00179964	0.002809235	0.003495054	0.000186399	0.000258342	0.001949671	0.000806885	0.00635488	0	0.001656217	0.001275022	0	0.00423867	0.003268906	0.00099655	0.002921404	0.001611249	0.001847063	0.002954833	0.001877901	0	0.000919703	0.002910249	0.000328596	0.004319654	0.001945525	0.011020242	0.003587748	0.014123301	0.000824402	0.000210997	0.007250924	0.002942572	0.001050845	0.000682128	0.013879923	7.85E-05	0.000715512	0.002896137	0.000388614	0.002239642	0.000928936	0.002429329	0.002021751	0.002124127	0.001786831	0.005892821	0.001751313	0.009079062	0.001861427	0.000385468	0.007054045	0.00264162	0.008950366	0.004888137	0.008186024	0.022640718	0.004027747	0.000601375	0.002382782	0.004008016	0.003132365	0.004073166	0.001853436
k__Bacteria;p__Bacteroidetes	0.045543529	0.121351616	0.153801509	0.117408642	0.163166176	0.061585414	0.087188154	0.024871355	0.132564676	0.163471373	0.028358553	0.10868128	0.016414663	0.12724412	0.028720627	0.474087126	0.011630411	0.13381369	0.142206692	0.136634845	0.087718444	0.118787699	0.106560506	0.158897375	0.038978733	0.081580664	0.103681378	0.093674904	0.067912856	0.114056863	0.04245283	0.057849284	0.136809894	0.12833764	0.053037713	0.029549877	0.259563051	0.191791912	0.035593965	0.0701884	0.104263402	0.054352833	0.126166148	0.05737531	0.114186091	0.115419371	0.147508199	0.10311284	0.199060379	0.011914029	0.445206282	0.144120513	0.120521585	0.112737921	0.082771713	0.055856438	0.044594134	0.083763719	0.017224229	0.077050454	0.291460015	0.128048188	0.074868021	0.104040873	0.08635159	0.110220301	0.096855315	0.087331368	0.08004901	0.1558669	0.096046916	0.075449845	0.054832803	0.113327871	0.09539184	0.019934906	0.090806543	0.044251987	0.097725446	0.096665921	0.118986254	0.074942352	0.068814099	0.172399391	0.067244956	0.076418591
k__Bacteria;p__Proteobacteria	0.60656	0.556904995	0.655252467	0.715695888	0.603885886	0.558259645	0.702502113	0.92481418	0.656341421	0.535982417	0.08308742	0.829374968	0.079952629	0.266107234	0.515013055	0.415881888	0.252494795	0.751243781	0.750635324	0.763126492	0.686267828	0.762535618	0.590063805	0.607497147	0.478229963	0.777905496	0.238966631	0.718431195	0.287116729	0.54433522	0.675707547	0.659765764	0.502443793	0.519379845	0.775785241	0.837332987	0.576312764	0.457639647	0.607001611	0.710011082	0.699451245	0.731920774	0.686361617	0.537460205	0.663976059	0.545469482	0.611791057	0.678988327	0.753204571	0.900896937	0.43870136	0.527617477	0.681563067	0.654605034	0.723872805	0.540134185	0.239768076	0.362088444	0.053007696	0.849885518	0.647865909	0.403380939	0.784994401	0.48583372	0.742270318	0.621653653	0.561672933	0.689359421	0.334578022	0.379451255	0.544352737	0.354374354	0.846583791	0.382771029	0.710962724	0.434906428	0.80071442	0.279985763	0.55071451	0.753188633	0.692268041	0.743735588	0.607744902	0.507204439	0.874410711	0.719988594
k__Bacteria;p__Lentisphaerae	2.82E-05	0.001077375	0	0	0	0	7.35E-05	0	0	4.35E-05	0	0	0	0	0	6.08E-05	0	0	0	0	0	0.000148022	0.000327207	0	0.00231029	0	0	0	0	0.00019859	0	0	0.000170003	0	0	0	0	7.04E-05	0	0	0	0	0	0	5.49E-05	0	0	0	0	0	0	0	0.000379795	0.000766925	0	0.000161668	0	0	0	4.09E-05	0	0	0.000639898	0	0	0.00062744	7.32E-05	0	0	0	0	0	0	0	0.000293513	0	0	0	0.000174697	0	0	0	0.001532477	5.97E-05	0.000113144	0
k__Bacteria;p__Firmicutes	0.054607059	0.090107738	0.138131167	0.019415572	0.017308613	0.004147429	0.039056472	0.02672956	0.019847416	0.158052793	0.006006572	0.020749631	5.51E-05	0.016419898	0.357049608	0.08108026	0.004020389	0.003774232	0.008682762	0.045942721	0.023511658	0.084409577	0.167257458	0.022825037	0.25460577	0.11423157	0.00335845	0.023260032	0.033889188	0.020355476	0.200766509	0.006388265	0.016405287	0.018518519	0.131507445	0.062238941	0.007282484	0.228960614	0.130584444	0.007757665	0.01041227	0.025192219	0.012883163	0.04039618	0.065178596	0.018483529	0.075033997	0.010700389	0.002088046	0.067185649	0.004746835	0.013190437	0.021901507	0.01659346	0.052112008	0.011074287	0.002216917	0.013153648	0	0.029213345	0.019910944	0.00427475	0.027035674	0.149094287	0.005300353	0.024051868	0.082254993	0.165907263	0.006563785	0.036777583	0.008514335	0.003557394	0.043461501	0.40347002	0.008365131	0.013628967	0.024064674	0.01749911	0.015373327	0.005370329	0.07628866	0.079477325	0.02254509	0.058082993	0.018480106	0.025235244
k__Bacteria;p__Verrucomicrobia	0.036569412	0.075024486	0.002321532	0.038961888	0.093316002	0.138899757	0.0969982	0.004002287	0.098548729	0.036711423	0.058830916	0.02176677	0.06521799	0.021624239	0.009138381	0.002096118	0.009476631	0.050094356	0.039390089	0.01372315	0.116097941	0.00288643	0.020995801	0.072688965	0.021444227	0.00329305	0.058385361	0.076218545	0.076923077	0.040611657	0.009139151	0.022595528	0.148285095	0.034883721	0.003803934	0.009625114	0.049750862	0.015275773	0.025487037	0.014407093	0.019980301	0.008326542	0.030653043	0.030491687	0.031161629	0.130370492	0.092552596	0.011673152	0.002436054	0.00213234	0.018987342	0.162781983	0.056800439	0.025029631	0.015567157	0.050683049	0.023362892	0.040671401	0.014318622	0.002596288	0.006081888	0.069853298	0.02287634	0.067347887	0.01590106	0.064626325	0.023170077	0.010274279	0.023921351	0.04028021	0.159991312	0.117642192	0.006263853	0.015996295	0.052245377	0.010374288	0.0107163	0.014829754	0.066349883	0.034012083	0.025945017	0.015910838	0.060326535	0.027206826	0.012747501	0.033575706
k__Bacteria;p__Cyanobacteria	0.019628235	0.004799216	0.001741149	0.029744394	0.047136895	0.154315674	0.014843664	0.003001715	0.047266678	0.013470285	0.706243067	0.002695418	0.832025118	0.445878888	0.011749347	0.001731575	0.671117812	0.024360954	0.021918679	0.002386635	0.005354622	0.002035303	0.013251895	0.010534633	0.018245365	0.00276492	0.521722282	0.014101111	0.358122647	0.049581306	0.016509434	0.007452975	0.006970122	0	0.008151288	0.00729018	0.020007666	0.025060716	0.019408232	0.147765054	0.089911355	0.129433441	0.003553976	0.251644853	0.093704527	0.003121663	0.008319334	0.035019455	0.027956615	0.00030462	0.007852789	0.049539084	0.050301726	0.007529805	0.045847176	0.169186	0.573584584	0.321255649	0.895398147	0.002064764	0.003620172	0.2696007	0.00543913	0.046911287	0.06360424	0.032487451	0.023023585	0.005583847	0.394673123	0.157618214	0.070851434	0.279503619	0.003951046	0.007802202	0.012914588	0.350691619	0.018236511	0.612350219	0.093986933	0.002013873	0.003178694	0.025980015	0.087262761	0.099639032	0.00267773	0.006914742
k__Bacteria;p__OD1	0.009007059	0.001567091	0	0.002680264	0.001163029	0.000860787	0.004996877	0.000285878	0.000286812	0.001915	0.000188359	0.000711997	0	0.001250656	0.018276762	0.003007473	0	0	0.000529437	0	0	0.001295193	0.014942466	0	0.019904034	0	8.61E-05	0.000997506	0	0.017906199	0.001179245	0.001064711	0.002380042	0.002583979	0	0.000155662	0.011498658	0.003449368	0.009301304	0.000923532	0.001407063	0.000531481	0.000888494	0.001202688	5.49E-05	0.001232235	0	0	0.000116003	0.00010154	0.00140647	0	0.000801789	0.018894234	0.003701946	0.000646674	0	0.002017431	0	0.001328809	0.002642725	0	0.000959846	0	0	0.001394311	0.003955271	0.003037613	0.000700137	0	0	8.27E-05	0.00539655	0.002173216	0.001981215	0.000610252	0.012596353	0.000296595	0.003808392	0.005370329	0.00137457	0.004227517	0.012318755	0.004325647	0.000264002	0.001140576
k__Bacteria;p__BRC1	0.000127059	0	0	0	0	0	0.00022045	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000584141	0	0	0	0.000770097	0	0	0	0	0.000893655	0	0	0	0	0	0	0	7.04E-05	0	0	0	0.002338518	0	0	0.000576559	0.000164298	0.00287977	0	0	0	0	0	0.000632992	0	0	0	0	0	0	0	7.24E-05	0	0	0	0	0.000348578	0	0	0	0	0	0	0	0.000285012	0.000146757	0	0	0.000118638	0.000209636	0	0.000429553	0	0.000648356	0.000328153	0	0
